Price,rooms,price_per_m2,level,levels,year,area_total,area_living,area_kitchen,street,type,district,area_comfort
129999.0,2.0,2063.0,6.0,9.0,2018.0,63.0,30.0,15.0,Юнацька,вулиця,Святошинський,18.0
129999.0,2.0,2063.0,6.0,9.0,2018.0,63.0,30.0,15.0,Юнацька,вулиця,Солом'янський,18.0
125000.0,2.0,1866.0,4.0,9.0,2018.0,67.0,37.0,14.0,Юнацька,вулиця,Святошинський,16.0
125000.0,2.0,1866.0,4.0,9.0,2018.0,67.0,37.0,14.0,Юнацька,вулиця,Солом'янський,16.0
121860.0,2.0,1741.0,2.0,9.0,2018.0,70.0,45.0,14.0,Юнацька,вулиця,Святошинський,11.0
121860.0,2.0,1741.0,2.0,9.0,2018.0,70.0,45.0,14.0,Юнацька,вулиця,Солом'янський,11.0
57000.0,3.0,851.0,5.0,9.0,1985.0,67.0,37.0,14.0,Маяковського,вулиця,Деснянський,16.0
170000.0,2.0,1932.0,3.0,9.0,2005.0,88.0,44.0,22.0,Дмитрівська,вулиця,Шевченківський,22.0
170000.0,2.0,1932.0,3.0,9.0,2005.0,88.0,44.0,22.0,Дмитрівська,вулиця,Подільський,22.0
268000.0,4.0,1381.0,18.0,20.0,2010.0,194.0,93.0,35.0,Дмитрівська,вулиця,Шевченківський,66.0
268000.0,4.0,1381.0,18.0,20.0,2010.0,194.0,93.0,35.0,Дмитрівська,вулиця,Подільський,66.0
84999.0,4.0,885.0,7.0,16.0,1986.0,96.0,37.0,13.0,Миропільська,вулиця,"Деснянський, Дніпровський",46.0
70000.0,3.0,729.0,4.0,4.0,1946.0,96.0,37.0,14.0,Вишгородська,вулиця,"Подільський, Оболонський",45.0
120000.0,3.0,1395.0,10.0,24.0,2010.0,86.0,40.0,17.0,Вишгородська,вулиця,"Подільський, Оболонський",29.0
76800.0,3.0,985.0,2.0,5.0,1958.0,78.0,78.0,9.0,Вишгородська,вулиця,"Подільський, Оболонський",-9.0
85000.0,1.0,1518.0,7.0,14.0,2010.0,56.0,20.0,14.0,Вишгородська,вулиця,"Подільський, Оболонський",22.0
46500.0,2.0,1011.0,5.0,5.0,1963.0,46.0,31.0,7.0,Вишгородська,вулиця,"Подільський, Оболонський",8.0
36000.0,1.0,1200.0,5.0,9.0,2010.0,30.0,13.0,10.0,Жолудєва,вулиця,Святошинський,7.0
210000.0,3.0,1409.0,7.0,12.0,2001.0,149.0,87.0,16.0,Павлівська,вулиця,Шевченківський,46.0
180000.0,2.0,1915.0,4.0,10.0,2005.0,94.0,45.0,15.0,Павлівська,вулиця,Шевченківський,34.0
85900.0,3.0,1263.0,6.0,8.0,1964.0,68.0,47.0,6.0,Голосіївський,проспект,Голосіївський,15.0
85900.0,3.0,1263.0,6.0,8.0,1964.0,68.0,47.0,6.0,Голосіївський,провулок,Голосіївський,15.0
59000.0,2.0,1157.0,2.0,12.0,1981.0,51.0,37.0,14.0,Голосіївський,проспект,Голосіївський,0.0
59000.0,2.0,1157.0,2.0,12.0,1981.0,51.0,37.0,14.0,Голосіївський,провулок,Голосіївський,0.0
63000.0,3.0,1125.0,5.0,5.0,1965.0,56.0,42.0,6.0,Голосіївський,проспект,Голосіївський,8.0
63000.0,3.0,1125.0,5.0,5.0,1965.0,56.0,42.0,6.0,Голосіївський,провулок,Голосіївський,8.0
484000.0,2.0,3569.0,2.0,24.0,2010.0,68.5,37.0,14.0,Голосіївський,проспект,Голосіївський,17.5
484000.0,2.0,3569.0,2.0,24.0,2010.0,68.5,37.0,14.0,Голосіївський,провулок,Голосіївський,17.5
229000.0,3.0,1684.0,2.0,24.0,2013.0,136.0,72.0,20.0,Голосіївський,проспект,Голосіївський,44.0
229000.0,3.0,1684.0,2.0,24.0,2013.0,136.0,72.0,20.0,Голосіївський,провулок,Голосіївський,44.0
